N,t
66600000,1.28931
66700000,1.28995
66800000,1.30177
66900000,1.34539
67000000,1.34112
67100000,1.33368
67200000,1.3528
67300000,1.40388
67400000,1.45758
67500000,1.36657
67600000,1.33977
67700000,1.34696
67800000,1.31921
67900000,1.31242
68000000,1.33605
68100000,1.3866
68200000,1.3656
68300000,1.32813
68400000,1.32054
68500000,1.31904
68600000,1.32101
68700000,1.32484
68800000,1.37251
68900000,1.3334
69000000,1.33105
69100000,1.332
69200000,1.32556
69300000,1.32607
69400000,1.32868
69500000,1.32568
69600000,1.45058
69700000,1.39014
69800000,1.37122
69900000,1.35229
70000000,1.43759
70100000,1.40388
70200000,1.51432
70300000,1.36327
70400000,1.46654
70500000,1.38966
70600000,1.41844
70700000,1.57484
70800000,1.43738
70900000,1.38919
71000000,1.42067
71100000,1.42866
71200000,1.3519
71300000,1.36288
71400000,1.36732
71500000,1.35772
71600000,1.38258
71700000,1.36231
71800000,1.36554
71900000,1.4778
72000000,1.47171
72100000,1.49337
72200000,1.44931
72300000,1.45467
72400000,1.41654
72500000,1.46729
72600000,1.43592
72700000,1.3807
72800000,1.42779
72900000,1.39495
73000000,1.459
73100000,1.43639
73200000,1.43125
73300000,1.40084
73400000,1.39
73500000,1.40283
73600000,1.39183
73700000,1.47623
73800000,1.49356
73900000,1.43273
74000000,1.42082
74100000,1.42452
74200000,1.4855
74300000,1.45207
74400000,1.42423
74500000,1.40695
74600000,1.4098
74700000,1.50719
74800000,1.41411
74900000,1.41652
75000000,1.43104
75100000,1.42426
75200000,1.44139
75300000,1.4289
75400000,1.42802
75500000,1.42632
75600000,1.42485
75700000,1.46148
75800000,1.43282
75900000,1.51407
76000000,1.54061
76100000,1.56115
76200000,1.52158
76300000,1.53254
76400000,1.53425
76500000,1.5984
76600000,1.51678
76700000,1.49587
76800000,1.48553
76900000,1.52479
77000000,1.56475
77100000,1.55991
77200000,1.53549
77300000,1.54219
77400000,1.53791
77500000,1.56769
77600000,1.57363
77700000,1.56312
77800000,1.52957
77900000,1.54094
78000000,1.59533
78100000,1.57554
78200000,1.57543
78300000,1.54872
78400000,1.49838
78500000,1.51158
78600000,1.55901
78700000,1.55206
78800000,1.55987
78900000,1.50199
79000000,1.53191
79100000,1.51103
79200000,1.52914
79300000,1.50362
79400000,1.58857
79500000,1.57545
79600000,1.54384
79700000,1.57035
79800000,1.58366
79900000,1.51665
80000000,1.52609
80100000,1.57383
80200000,1.55213
80300000,1.58042
80400000,1.55629
80500000,1.56882
80600000,1.58831
80700000,1.54401
80800000,1.55477
80900000,1.58029
81000000,1.53894
81100000,1.57156
81200000,1.57279
81300000,1.71999
81400000,1.57093
81500000,1.71229
81600000,1.63164
81700000,1.68618
81800000,1.67302
81900000,1.60546
82000000,1.62249
82100000,1.60697
82200000,1.61923
82300000,1.62451
82400000,1.62401
82500000,1.58146
82600000,1.56399
82700000,1.58666
82800000,1.66711
82900000,1.69578
83000000,1.6033
83100000,1.69276
83200000,1.68137
83300000,1.64666
83400000,1.59368
83500000,1.6173
83600000,1.60636
83700000,1.67828
83800000,1.65454
83900000,1.64712
84000000,1.63805
84100000,1.79833
84200000,1.68183
84300000,1.75933
84400000,1.71693
84500000,1.71717
84600000,1.68951
84700000,1.82303
84800000,1.74684
84900000,1.61939
85000000,1.61264
85100000,1.61315
85200000,1.61668
85300000,1.63127
85400000,1.62197
85500000,1.62095
85600000,1.63433
85700000,1.63772
85800000,1.63025
85900000,1.63189
86000000,1.64847
86100000,1.63631
86200000,1.6319
86300000,1.65085
86400000,1.63919
86500000,1.65407
86600000,1.64686
86700000,1.64538
86800000,1.65237
86900000,1.65137
87000000,1.66812
87100000,1.66182
87200000,1.67483
87300000,1.66078
87400000,1.66504
87500000,1.66721
87600000,1.66339
87700000,1.68837
87800000,1.82602
87900000,1.76737
88000000,1.74978
88100000,1.79758
88200000,1.73899
88300000,1.67191
88400000,1.6927
88500000,1.68572
88600000,1.68096
88700000,1.69335
88800000,1.69763
88900000,1.72247
89000000,1.71501
89100000,1.79541
89200000,1.70598
89300000,1.69349
89400000,1.79827
89500000,1.80318
89600000,1.79932
89700000,1.83872
89800000,1.71923
89900000,1.72426
90000000,1.70548
